"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2004","Бибик Дмитрий Иванович","Кандидат","36","1968","юрист","","","м","Минск","адъюнкт (аспирант) научно-педагогического факультета Академии МВД Республики Беларусь","Беспартийный","","Столбцовский № 92",""
"2004","Берникович Ярослав Тадеушевич","Кандидат","38","1966","техник-строитель","","","м","Глубокое","индивидуальный предприниматель","Партийный","БНФ","Глубокский № 22",""
"2004","Беркус Станислав Робертович","Кандидат","38","1966","электромонтер","","","м","Лида","временно не работающий","Беспартийный","","Лидский городской № 56",""
"2004","Белошевский Анатолий Алексеевич","Кандидат","57","1947","технолог","","","м","Гродно","начальник управления внутренних дел Гродненского облисполкома","Беспартийный","","Мостовский № 58",""
"2004","Бедункевич Геннадий Антонович","Кандидат","55","1949","преподаватель","","","м","Брест","индивидуальный предприниматель","Партийный","БСДП","Брестский-Центральный № 2",""
"2004","Бахун Сергей Петрович","Кандидат","28","1976","учитель","","","м","Брест","временно не работает","Партийный","БНФ","Дрогичинский № 9",""
"2004","Баланчук Эдуард Николаевич","Кандидат","35","1969","преподаватель","","","м","Молодечно","председатель Молодечненского отделения РОО ""Белорусский Хельсинкский комитет""","Беспартийный","","Молодечненский городской № 85",""
"2004","Балакир Анатолий Александрович","Кандидат","49","1955","шофер","","","м","Слуцк","сторож городского унитарного предприятия ""Слуцкое ЖКХ""","Партийный","БСДП","Слуцкий № 89",""
"2004","Афанасьев Марат Степанович","Кандидат","58","1946","инженер-электрик","","","м","Жлобин","начальник отдела ремонтов технологического оборудования РУП ""БМЗ""","Партийный","ОГП","Жлобинский № 42",""
"2004","Артюшина Татьяна Анатольевна","Кандидат","51","1953","врач-педиатр","","","ж","Бобруйск","главный врач УЗ ""Бобруйская городская детская больница""","Беспартийный","","Бобруйский - Ленинский № 63",""
"2004","Артишевский Валерий Александрович","Кандидат","67","1937","инженер-электрик","","","м","Минск","доцент БНТУ","Партийный","БСДГ","Коласовский № 106",""
"2004","Артеменко Людмила Александровна","Кандидат","51","1953","учитель","","","ж","Витебск","директор Кировской СШ","Беспартийный","","Витебский сельский № 21",""
"2004","Арестов Владимир Михайлович","Кандидат","49","1955","юрист","","","м","Витебск","юрист торгово-игорного частного унитарного предприятия ""Эльдорадо""","Партийный","ОГП","Витебский-Горьковский № 17",""
"2004","Антонова Инна Васильевна","Кандидат","52","1952","врач-педиатр","","","ж","Новополоцк","заместитель главного врача ""Новополоцкое ГТМО""","Беспартийный","","Новополоцкий № 25",""
"2004","Анташкевич Константин Андреевич","Кандидат","46","1958","инженер","","","м","Орша","инженер средств радиовещания и телевидения Оршанского цеха УКВ радиостанций Витебского областного узла радиовещания и телевидения","Партийный","БСДП","Оршанский городской № 26",""
"2004","Аникеева Людмила Александровна","Кандидат","49","1955","учитель","","","ж","Орша","начальник отдела образования Оршанского горисполкома","Беспартийный","","Оршанский городской № 26",""
"2004","Андрущенко Сергей Петрович","Кандидат","48","1956","юрист","","","м","Барановичи","индивидуальный предприниматель","Партийный","ОГП","Барановичский-Восточный № 5",""
"2004","Ананьев Геннадий Николаевич","Кандидат","42","1962","техник-механик маломерных судов","","","м","Орша","директор издательского ЧУП ""Издательский дом Время""","Партийный","ОГП","Оршанский городской № 26",""
"2004","Алтухов Дмитрий Анатольевич","Кандидат","24","1980","товаровед","","","м","Минск","заместитель председателя ОО ""Мир и молодежь""","Беспартийный","","Слуцкий № 89",""
